,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.7909722222222223,0.769212962962963,0.7909722222222223,0.7636574074074074,0.7636574074074074,0.7627314814814816,0.7935185185185185,0.7995370370370369,0.7995370370370369,0.820138888888889,0.7868055555555555,0.7909722222222223,0.7817129629629629,0.7861111111111111,0.8240740740740742,0.8541666666666667,0.8229166666666667
Median,0.756712962962963,0.7342592592592592,0.7472222222222222,0.7368055555555555,0.7368055555555555,0.7384259259259258,0.7483796296296296,0.7476851851851852,0.7476851851851852,0.7467592592592591,0.7421296296296296,0.742824074074074,0.7479166666666668,0.7469907407407408,0.750462962962963,0.750462962962963,0.744212962962963
Choquet,0.7909722222222223,0.769212962962963,0.8069444444444445,0.774537037037037,0.774537037037037,0.7858796296296297,0.8168981481481483,0.8273148148148147,0.7543981481481481,0.8444444444444444,0.755787037037037,0.8136574074074074,0.7826388888888889,0.7905092592592593,0.8518518518518519,0.8659722222222224,0.8469907407407407
CFminmin,0.7722222222222224,0.7467592592592592,0.795138888888889,0.7305555555555555,0.7305555555555555,0.7460648148148148,0.8490740740740741,0.7456018518518519,0.7238425925925926,0.6138888888888889,0.7365740740740742,0.7810185185185184,0.7625,0.767824074074074,0.7956018518518518,0.8733796296296296,0.7909722222222223
Sugeno,0.7722222222222224,0.7467592592592592,0.795138888888889,0.7305555555555555,0.7305555555555555,0.7460648148148148,0.8490740740740741,0.7451388888888889,0.7238425925925926,0.6138888888888889,0.7365740740740742,0.7810185185185184,0.7625,0.767824074074074,0.7956018518518518,0.8733796296296296,0.7909722222222223
Hamacher Sugeno,0.8055555555555556,0.774537037037037,0.8141203703703704,0.7793981481481481,0.7793981481481481,0.7944444444444444,0.8358796296296298,0.7840277777777778,0.7180555555555556,0.8608796296296296,0.736574074074074,0.8143518518518519,0.7886574074074073,0.806712962962963,0.8314814814814815,0.874074074074074,0.8122685185185186
F-Sugeno,0.7951388888888888,0.7763888888888888,0.81875,0.7842592592592593,0.7842592592592593,0.7912037037037037,0.8280092592592594,0.8412037037037037,0.7414351851851851,0.8495370370370369,0.750925925925926,0.8282407407407408,0.7895833333333334,0.7953703703703703,0.8576388888888891,0.869212962962963,0.8578703703703703
Min,0.8168981481481481,0.7930555555555557,0.8493055555555555,0.7972222222222223,0.7972222222222223,0.8182870370370372,0.8527777777777776,0.8650462962962964,0.7173611111111111,0.8608796296296296,0.736111111111111,0.8546296296296297,0.8143518518518519,0.8166666666666667,0.8731481481481481,0.8731481481481481,0.8699074074074075
Max,0.8168981481481481,0.7930555555555557,0.7611111111111111,0.726388888888889,0.7277777777777779,0.7252314814814814,0.7430555555555555,0.7173611111111111,0.8650462962962964,0.7775462962962963,0.8481481481481481,0.7370370370370372,0.7849537037037038,0.8078703703703702,0.7916666666666666,0.7916666666666666,0.7671296296296297
CF12,0.7726851851851851,0.755787037037037,0.8046296296296296,0.7680555555555556,0.7680555555555556,0.7858796296296297,0.21620370370370373,0.8532407407407406,0.7043981481481483,0.18148148148148147,0.7724537037037037,0.8222222222222223,0.7675925925925926,0.7564814814814814,0.8541666666666667,0.5131944444444445,0.8634259259259258
OWA1,0.78125,0.7606481481481482,0.7465277777777778,0.7287037037037037,0.7287037037037037,0.7356481481481482,0.7412037037037036,0.7275462962962963,0.8150462962962962,0.754861111111111,0.8041666666666668,0.7361111111111112,0.7636574074074074,0.7715277777777778,0.7599537037037039,0.7574074074074074,0.7444444444444445
OWA2,0.7909722222222223,0.769212962962963,0.8166666666666668,0.7759259259259259,0.7759259259259259,0.789814814814815,0.8224537037037039,0.8331018518518517,0.7261574074074073,0.8453703703703704,0.742361111111111,0.8224537037037039,0.7833333333333334,0.7932870370370372,0.8548611111111111,0.8652777777777778,0.8520833333333332
OWA3,0.7671296296296297,0.742361111111111,0.7701388888888888,0.7425925925925927,0.7425925925925927,0.7564814814814814,0.7747685185185186,0.7789351851851853,0.7636574074074074,0.7784722222222222,0.7541666666666667,0.7682870370370369,0.75625,0.7578703703703703,0.7789351851851853,0.7800925925925927,0.7805555555555556
CF,0.782175925925926,0.7631944444444445,0.7703703703703704,0.7375,0.7375,0.750462962962963,0.7965277777777777,0.7902777777777777,0.7817129629629631,0.8363425925925926,0.7856481481481482,0.7717592592592594,0.7710648148148148,0.7747685185185185,0.8206018518518519,0.85,0.8243055555555555
GM,0.7914351851851853,0.7710648148148148,0.798148148148148,0.7692129629629629,0.7692129629629629,0.7719907407407407,0.8071759259259259,0.8636574074074073,0.7877314814814815,0.8289351851851853,0.7777777777777778,0.8099537037037037,0.78125,0.7872685185185185,0.8518518518518519,0.8564814814814815,0.8638888888888889
SO,0.7914351851851853,0.7710648148148148,0.798148148148148,0.7692129629629629,0.7692129629629629,0.7719907407407407,0.7761574074074074,0.8636574074074073,0.7877314814814815,0.17106481481481478,0.7777777777777778,0.8099537037037037,0.78125,0.7872685185185185,0.8518518518518519,0.8564814814814815,0.8638888888888889
HM,0.7930555555555557,0.7743055555555556,0.8111111111111111,0.7703703703703705,0.7703703703703705,0.7787037037037038,0.825462962962963,0.8652777777777778,0.7777777777777779,0.8368055555555557,0.7719907407407408,0.8256944444444445,0.7844907407407407,0.788888888888889,0.8604166666666668,0.8578703703703704,0.86875
