,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.7800925925925926,0.7405092592592594,0.7800925925925926,0.7328703703703704,0.7328703703703704,0.7476851851851852,0.7851851851851852,0.7939814814814814,0.7939814814814814,0.8115740740740742,0.7722222222222223,0.7800925925925926,0.7555555555555555,0.7706018518518518,0.8155092592592592,0.8421296296296296,0.8166666666666668
Median,0.7277777777777777,0.7030092592592592,0.7328703703703703,0.6916666666666667,0.6916666666666667,0.7284722222222222,0.7379629629629629,0.749537037037037,0.749537037037037,0.7289351851851852,0.7189814814814814,0.735648148148148,0.7131944444444444,0.7259259259259259,0.725462962962963,0.725462962962963,0.7351851851851852
Choquet,0.7800925925925926,0.7405092592592594,0.7993055555555555,0.7435185185185186,0.7435185185185186,0.7585648148148147,0.8069444444444445,0.8275462962962964,0.7469907407407408,0.8291666666666668,0.7356481481481483,0.8043981481481483,0.7645833333333334,0.7694444444444445,0.8409722222222221,0.8543981481481483,0.8418981481481481
CFminmin,0.7606481481481482,0.7270833333333332,0.7868055555555556,0.724537037037037,0.7247685185185185,0.7432870370370369,0.8273148148148147,0.7574074074074073,0.7006944444444445,0.5532407407407407,0.7069444444444446,0.7784722222222221,0.7548611111111111,0.7506944444444446,0.7847222222222222,0.858101851851852,0.792361111111111
Sugeno,0.7606481481481482,0.7270833333333332,0.7868055555555556,0.724537037037037,0.7247685185185185,0.7432870370370369,0.8273148148148147,0.7574074074074073,0.7006944444444445,0.5532407407407407,0.7069444444444446,0.7784722222222221,0.7548611111111111,0.7506944444444446,0.7847222222222222,0.858101851851852,0.792824074074074
Hamacher Sugeno,0.8062500000000001,0.7513888888888889,0.8020833333333334,0.749074074074074,0.749074074074074,0.7722222222222224,0.8240740740740741,0.788888888888889,0.6849537037037037,0.8467592592592593,0.7143518518518518,0.7976851851851852,0.7837962962962963,0.7976851851851852,0.8194444444444444,0.8594907407407406,0.8166666666666668
F-Sugeno,0.7877314814814815,0.7449074074074075,0.8071759259259259,0.7467592592592592,0.7467592592592592,0.7664351851851852,0.8162037037037038,0.8321759259259259,0.7287037037037036,0.830324074074074,0.7266203703703705,0.812037037037037,0.7712962962962963,0.7726851851851853,0.8456018518518519,0.8581018518518517,0.8476851851851853
Min,0.8069444444444445,0.750462962962963,0.8212962962962964,0.7486111111111111,0.7486111111111111,0.7784722222222221,0.8347222222222221,0.8599537037037036,0.6849537037037037,0.8467592592592593,0.7143518518518518,0.8196759259259258,0.7858796296296297,0.7960648148148147,0.8622685185185185,0.8622685185185185,0.8627314814814815
Max,0.8069444444444445,0.750462962962963,0.7430555555555556,0.6997685185185185,0.6997685185185185,0.6879629629629629,0.7240740740740741,0.6849537037037037,0.8599537037037036,0.7724537037037037,0.8127314814814813,0.7055555555555555,0.7564814814814815,0.7900462962962963,0.780787037037037,0.780787037037037,0.7604166666666667
CF12,0.7539351851851852,0.7238425925925925,0.7983796296296297,0.7238425925925926,0.7238425925925926,0.7574074074074073,0.2219907407407408,0.843287037037037,0.7703703703703703,0.1849537037037037,0.7574074074074075,0.8074074074074075,0.7418981481481483,0.7412037037037038,0.844675925925926,0.3615740740740741,0.8525462962962964
OWA1,0.7694444444444445,0.7305555555555556,0.73125,0.6990740740740741,0.6990740740740741,0.7122685185185185,0.7273148148148149,0.7194444444444443,0.8194444444444444,0.7493055555555557,0.7912037037037037,0.7178240740740741,0.7347222222222223,0.7576388888888888,0.7495370370370369,0.7488425925925926,0.7370370370370369
OWA2,0.7800925925925926,0.7405092592592594,0.8083333333333332,0.7490740740740741,0.7490740740740741,0.7696759259259259,0.8152777777777779,0.8317129629629629,0.7171296296296296,0.830324074074074,0.7118055555555556,0.8104166666666666,0.7692129629629629,0.7717592592592593,0.8462962962962962,0.8569444444444445,0.8460648148148149
OWA3,0.7497685185185186,0.7208333333333332,0.7641203703703703,0.7164351851851851,0.7164351851851851,0.7418981481481483,0.7668981481481482,0.7749999999999999,0.7567129629629629,0.7699074074074075,0.7375,0.7668981481481482,0.737037037037037,0.745138888888889,0.766898148148148,0.7685185185185185,0.7699074074074073
CF,0.7726851851851851,0.732638888888889,0.7555555555555555,0.7118055555555556,0.7118055555555556,0.7280092592592593,0.787037037037037,0.7768518518518518,0.7837962962962962,0.8206018518518519,0.7715277777777777,0.7576388888888889,0.7453703703703705,0.7618055555555554,0.8085648148148147,0.8398148148148147,0.8141203703703704
GM,0.7805555555555556,0.7402777777777778,0.7893518518518519,0.7361111111111112,0.7361111111111112,0.7532407407407405,0.798611111111111,0.8546296296296296,0.7819444444444444,0.81875,0.7641203703703703,0.7962962962962963,0.7585648148148147,0.7701388888888888,0.8414351851851851,0.8472222222222221,0.8578703703703704
SO,0.7805555555555556,0.7402777777777778,0.7893518518518519,0.7361111111111112,0.7361111111111112,0.7532407407407405,0.7099537037037036,0.8546296296296296,0.7819444444444444,0.18124999999999997,0.7641203703703703,0.7962962962962963,0.7585648148148147,0.7701388888888888,0.8414351851851851,0.8472222222222221,0.8578703703703704
HM,0.781712962962963,0.7414351851851853,0.7974537037037037,0.7335648148148148,0.7335648148148148,0.7550925925925925,0.8087962962962963,0.8625,0.767824074074074,0.8201388888888891,0.7560185185185185,0.8062500000000001,0.7627314814814816,0.7699074074074075,0.8488425925925925,0.8479166666666668,0.8620370370370372
